GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
1065,1007,1,1700,51,0,1,1,0,1,0,7,2
62,1450,2,1038,51,3,5,1,0,0,0,23,2
1047,921,2,2207,51,0,2,1,0,0,1,57,2
1047,921,2,2207,51,0,2,1,0,2,0,22,2
1283,60,2,853,35,0,5,1,0,0,0,34,2
1283,60,2,853,35,0,5,1,0,0,1,42,2
1285,29,2,1535,49,0,5,1,0,0,0,31,2
24,1517,4,1738,51,0,1,1,9,0,1,20,0
1383,1254,2,2015,7,0,2,1,11,0,1,15,1
1093,6,2,2030,48,0,2,1,0,0,0,24,1
1093,6,2,2030,48,0,2,1,0,0,1,42,2
430,319,2,1334,8,0,5,1,0,0,0,36,2
430,319,2,1334,8,0,5,1,0,2,0,33,2
185,158,2,1400,8,0,5,1,10,0,1,46,1
408,1010,2,1327,51,0,5,1,0,2,0,67,2
342,574,2,1440,51,0,5,1,11,0,1,4,2
544,830,2,1442,51,0,5,1,0,0,1,37,2
870,526,2,1453,51,0,5,1,10,0,1,56,1
486,1166,1,2322,25,3,2,5,0,1,0,45,2
976,174,2,1330,51,3,5,5,11,0,1,32,2
989,430,2,1715,5,0,1,1,0,0,1,26,2
1294,222,2,2115,48,0,2,1,0,0,1,30,2
690,1163,1,735,51,0,5,1,0,1,0,18,2
228,539,2,815,51,0,5,1,11,0,1,38,2
586,1091,2,905,25,0,5,1,11,0,0,40,2
1127,555,1,916,51,0,5,1,0,1,0,73,2
474,841,2,1145,51,0,5,1,0,2,0,69,2
1046,667,1,1740,51,0,1,1,14,2,1,6,2
1544,287,2,714,21,0,1,1,8,0,1,42,2
1307,1129,1,1015,51,0,5,1,14,2,0,89,2
330,524,2,800,51,0,5,1,9,0,1,51,2
252,1387,3,1900,51,0,2,1,0,0,0,31,2
1061,662,1,1950,12,0,2,1,0,1,1,27,2
811,151,2,1610,51,0,5,1,0,0,0,36,2
746,1306,2,820,51,0,5,1,11,0,1,40,2
529,213,1,1815,19,3,2,5,0,1,1,16,1
481,1101,2,1745,51,3,1,4,11,0,1,21,2
577,871,2,2300,51,0,2,1,11,0,1,48,2
174,809,2,37,51,0,1,1,0,0,1,36,2
51,740,2,1440,39,0,5,1,0,0,1,39,2
89,884,2,1210,41,3,5,1,0,0,0,44,2
594,552,2,1350,2,0,5,1,0,0,0,30,2
26,1532,2,1640,25,3,5,1,0,2,1,46,2
556,353,2,1815,15,3,2,5,0,0,1,43,2
1138,939,2,1930,51,3,2,1,11,0,1,27,2
79,868,2,1825,51,0,1,1,11,0,1,20,2
984,578,1,2245,5,3,2,1,0,1,1,21,2
212,12,2,1000,30,3,5,3,0,2,0,29,2
1404,168,2,1240,14,0,5,1,0,2,0,27,2
347,181,1,1355,51,3,5,1,0,1,0,43,2
1040,1120,3,1946,51,0,1,1,0,2,1,31,2
1040,1120,3,1946,51,0,1,1,0,2,1,19,2
819,454,2,1230,19,0,5,1,0,0,1,36,2
998,1060,2,845,51,3,5,1,11,0,1,33,1
1120,1061,2,850,2,3,5,5,0,0,1,23,2
168,1509,1,900,51,1,5,5,0,0,0,30,2
1240,1249,3,755,51,3,5,6,11,0,1,10,2
1524,132,2,955,51,3,5,1,5,0,1,16,2
104,454,2,1645,51,0,5,1,0,0,1,27,2
1218,1328,3,1652,51,0,5,0,0,0,0,54,2
1479,427,2,1650,14,0,5,1,10,0,1,26,2
916,569,1,1935,51,0,2,1,0,1,1,16,1
739,742,1,1830,51,0,1,1,5,1,1,26,2
1405,1109,2,1115,7,3,5,5,0,0,0,28,2
1296,23,1,1130,49,3,5,5,0,0,1,27,2
1271,1001,2,1322,51,3,5,4,0,2,0,39,2
823,669,1,1345,51,3,5,5,0,1,0,35,2
774,688,1,1500,51,0,5,1,14,2,0,64,2
573,802,1,1634,51,0,5,1,14,2,0,22,2
573,802,1,1634,51,0,5,1,14,2,0,22,2
637,1044,1,1910,25,3,2,5,0,1,0,23,2
992,1196,2,1918,51,3,2,5,0,2,1,47,2
992,1196,2,1918,51,3,2,5,0,2,0,12,2
992,1196,2,1918,51,3,2,5,0,2,0,9,2
218,1510,2,820,25,3,5,1,0,0,0,52,2
2,1482,2,1235,51,0,5,1,0,0,1,21,2
2,1482,2,1235,51,0,5,1,0,0,1,90,2
2,1482,2,1235,51,0,5,1,0,2,0,84,2
1470,485,2,1716,51,0,1,1,0,0,0,75,1
1188,96,2,1755,48,0,1,1,0,0,1,31,2
1471,1202,2,900,51,0,5,1,10,0,1,24,2
551,58,2,830,51,0,5,1,11,0,1,12,2
1375,647,1,1200,43,0,5,1,0,1,0,17,1
500,877,2,1420,51,0,5,1,0,2,0,19,2
1377,916,3,1635,51,0,5,1,0,0,0,30,2
195,1384,2,1815,51,0,1,1,0,2,1,21,2
195,1384,2,1815,51,0,1,1,0,2,1,20,2
195,1384,2,1815,51,0,1,1,0,2,1,19,2
