GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,y
992,436425,2,1918,51,3,2,5,0,2,0,9,2
218,443470,2,820,25,3,5,1,0,0,0,52,2
2,442017,2,1235,51,0,5,1,0,0,1,21,2
2,442017,2,1235,51,0,5,1,0,0,1,90,2
2,442017,2,1235,51,0,5,1,0,2,0,84,2
1470,432793,2,1716,51,0,1,1,0,0,0,75,1
1188,427085,2,1755,48,0,1,1,0,0,1,31,2
1471,436494,2,900,51,0,5,1,10,0,1,24,2
551,426302,2,830,51,0,5,1,11,0,1,12,2
1375,433611,1,1200,43,0,5,1,0,1,0,17,1
500,434585,2,1420,51,0,5,1,0,2,0,19,2
1377,434784,3,1635,51,0,5,1,0,0,0,30,2
