GREasting,GRNorthing,NumberofVehicles,Time,1st_Road,Road_Surface,LightingConditions,WeatherConditions,TypeofVehicle,CasualtyClass,Sex,Age,Severity
431949,432600,1,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,12,Slight
434608,428101,1,1500,A654,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Male,78,Serious
426190,442454,1,1754,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Male,43,Slight
431388,435014,1,953,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Male,26,Serious
424179,428212,2,1232,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,45,Slight
429647,433796,2,1716,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Male,54,Slight
432908,435044,2,1845,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,34,Slight
430518,431577,2,735,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,36,Slight
430518,431577,2,735,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Driver or rider,Male,34,Slight
430518,431577,2,735,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Vehicle or pillion passenger,Female,22,Slight
440401,446862,2,1010,A168,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,21,Serious
438357,440696,2,1855,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,20,Serious
421957,428201,3,1900,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,27,Slight
421957,428201,3,1900,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,17,Slight
430316,431181,1,2200,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Female,19,Slight
427201,434752,2,200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,67,Slight
427201,434752,2,200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Male,18,Slight
427201,434752,2,200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Male,25,Slight
427201,434752,2,200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Male,24,Slight
433001,426259,1,725,B6135,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Male,32,Slight
428500,433200,2,1510,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,36,Slight
431036,431334,2,1445,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Male,23,Serious
424150,435969,2,1045,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,41,Serious
430782,438592,2,1730,A61,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Male,49,Slight
431949,428020,2,705,M62,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Male,35,Slight
432059,435965,2,846,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Male,30,Slight
436864,433662,2,1146,A6210,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Male,66,Slight
430097,433239,2,1329,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Male,55,Slight
433169,436159,2,1510,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,66,Slight
433169,436159,2,1510,A58,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Female,31,Slight
420178,441796,1,1823,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Male,13,Slight
430637,438185,2,2144,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Female,40,Slight
430637,438185,2,2144,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Female,49,Slight
428164,436724,1,9,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,24,Slight
425027,433155,1,814,A6110,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Male,50,Slight
431900,430373,2,710,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Female,59,Slight
431900,430373,2,710,A61,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Male,43,Slight
428087,426535,2,1534,A653,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,33,Slight
431765,435538,2,1915,A58,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Male,22,Slight
431971,437046,2,820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Female,31,Slight
431971,437046,2,820,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Male,6,Slight
